sampleID,read1_file_name,read2_file_name
Y6-CD4NCD31-,105217-001-001_R1.fastq.gz,105217-001-001_R2.fastq.gz
Y6-CD4NCD31,105217-001-002_R1.fastq.gz,105217-001-002_R2.fastq.gz
Y6-CD4CM,105217-001-003_R1.fastq.gz,105217-001-003_R2.fastq.gz
Y6-CD4EM,105217-001-004_R1.fastq.gz,105217-001-004_R2.fastq.gz
Y6-CD4Treg,105217-001-005_R1.fastq.gz,105217-001-005_R2.fastq.gz
Y6-CD8N,105217-001-006_R1.fastq.gz,105217-001-006_R2.fastq.gz
Y6-CD8EM,105217-001-007_R1.fastq.gz,105217-001-007_R2.fastq.gz
Y7-CD4NCD31-,105217-001-022_R1.fastq.gz,105217-001-022_R2.fastq.gz
Y7-CD4CM,105217-001-024_R1.fastq.gz,105217-001-024_R2.fastq.gz
Y7-CD4EM,105217-001-025_R1.fastq.gz,105217-001-025_R2.fastq.gz
Y7-CD4Treg,105217-001-026_R1.fastq.gz,105217-001-026_R2.fastq.gz
Y7-CD8N,105217-001-027_R1.fastq.gz,105217-001-027_R2.fastq.gz
Y7-CD8EM,105217-001-028_R1.fastq.gz,105217-001-028_R2.fastq.gz
Y3-CD4NCD31-,104492-003-001_R1.fastq.gz,104492-003-001_R2.fastq.gz
Y3-CD4NCD31,104492-003-002_R1.fastq.gz,104492-003-002_R2.fastq.gz
Y3-CD4CM,104492-003-003_R1.fastq.gz,104492-003-003_R2.fastq.gz
Y3-CD4EM,104492-003-004_R1.fastq.gz,104492-003-004_R2.fastq.gz
Y3-CD4Treg,104492-003-005_R1.fastq.gz,104492-003-005_R2.fastq.gz
Y3-CD8N,104492-003-006_R1.fastq.gz,104492-003-006_R2.fastq.gz
Y3-CD8EM,104492-003-007_R1.fastq.gz,104492-003-007_R2.fastq.gz
Y1-CD4NCD31-,104492-003-008_R1.fastq.gz,104492-003-008_R2.fastq.gz
Y1-CD4NCD31,104492-003-009_R1.fastq.gz,104492-003-009_R2.fastq.gz
Y1-CD4CM,104492-003-010_R1.fastq.gz,104492-003-010_R2.fastq.gz
Y1-CD4EM,104492-003-011_R1.fastq.gz,104492-003-011_R2.fastq.gz
Y1-CD8N,104492-003-013_R1.fastq.gz,104492-003-013_R2.fastq.gz
Y1-CD8EM,104492-003-014_R1.fastq.gz,104492-003-014_R2.fastq.gz
Y4-CD4NCD31-,104492-003-015_R1.fastq.gz,104492-003-015_R2.fastq.gz
Y4-CD4NCD31,104492-003-016_R1.fastq.gz,104492-003-016_R2.fastq.gz
Y4-CD4CM,104492-003-017_R1.fastq.gz,104492-003-017_R2.fastq.gz
Y4-CD4EM,104492-003-018_R1.fastq.gz,104492-003-018_R2.fastq.gz
Y4-CD4Treg,104492-003-019_R1.fastq.gz,104492-003-019_R2.fastq.gz
Y4-CD8N,104492-003-020_R1.fastq.gz,104492-003-020_R2.fastq.gz
Y5-CD4NCD31-,104492-003-029_R1.fastq.gz,104492-003-029_R2.fastq.gz
Y5-CD4NCD31,104492-003-030_R1.fastq.gz,104492-003-030_R2.fastq.gz
Y5-CD4CM,104492-003-031_R1.fastq.gz,104492-003-031_R2.fastq.gz
Y5-CD4EM,104492-003-032_R1.fastq.gz,104492-003-032_R2.fastq.gz
Y5-CD4Treg,104492-003-033_R1.fastq.gz,104492-003-033_R2.fastq.gz
Y5-CD8N,104492-003-034_R1.fastq.gz,104492-003-034_R2.fastq.gz
Y5-CD8EM,104492-003-035_R1.fastq.gz,104492-003-035_R2.fastq.gz
T2-CD4NCD31-,105217-001-008_R1.fastq.gz,105217-001-008_R2.fastq.gz
T2-CD4NCD31,105217-001-009_R1.fastq.gz,105217-001-009_R2.fastq.gz
T2-CD4CM,105217-001-010_R1.fastq.gz,105217-001-010_R2.fastq.gz
T2-CD4EM,105217-001-011_R1.fastq.gz,105217-001-011_R2.fastq.gz
T2-CD4Treg,105217-001-012_R1.fastq.gz,105217-001-012_R2.fastq.gz
T2-CD8N,105217-001-013_R1.fastq.gz,105217-001-013_R2.fastq.gz
T2-CD8EM,105217-001-014_R1.fastq.gz,105217-001-014_R2.fastq.gz
T4-CD4NCD31-,105217-001-015_R1.fastq.gz,105217-001-015_R2.fastq.gz
T4-CD4NCD31,105217-001-016_R1.fastq.gz,105217-001-016_R2.fastq.gz
T4-CD4CM,105217-001-017_R1.fastq.gz,105217-001-017_R2.fastq.gz
T4-CD4EM,105217-001-018_R1.fastq.gz,105217-001-018_R2.fastq.gz
T4-CD4Treg,105217-001-019_R1.fastq.gz,105217-001-019_R2.fastq.gz
T4-CD8N,105217-001-020_R1.fastq.gz,105217-001-020_R2.fastq.gz
T4-CD8EM,105217-001-021_R1.fastq.gz,105217-001-021_R2.fastq.gz
T5-CD4NCD31-,105217-001-036_R1.fastq.gz,105217-001-036_R2.fastq.gz
T5-CD4NCD31,105217-001-037_R1.fastq.gz,105217-001-037_R2.fastq.gz
T5-CD4CM,105217-001-038_R1.fastq.gz,105217-001-038_R2.fastq.gz
T5-CD4EM,105217-001-039_R1.fastq.gz,105217-001-039_R2.fastq.gz
T5-CD4Treg,105217-001-040_R1.fastq.gz,105217-001-040_R2.fastq.gz
T5-CD8N,105217-001-041_R1.fastq.gz,105217-001-041_R2.fastq.gz
T5-CD8EM,105217-001-042_R1.fastq.gz,105217-001-042_R2.fastq.gz
T10-CD4NCD31-,105217-001-043_R1.fastq.gz,105217-001-043_R2.fastq.gz
T10-CD4NCD31,105217-001-044_R1.fastq.gz,105217-001-044_R2.fastq.gz
T10-CD4CM,105217-001-045_R1.fastq.gz,105217-001-045_R2.fastq.gz
