individual,subset,chain,Group,Cell Number,Cell Number Estimated,UMIorCell_code,Read count,UMI count,clonetype,Read/Cell(UMI),UMI/Cell(UMI),Clonetype/Cell(UMI)
Y4,CD4NCD31-,TRA,Young,81300,True,umi,3139093.0,77145,40261,40.69081599585197,1.0,0.5218873549808801
Y4,CD4NCD31-,TRB,Young,88970,True,cell,3169538.0,222797,67412,35.62479487467686,2.5041811846689894,0.7576936045858155
O9,CD4CM,TRA,Aged,100000,,umi,1666214.0,54672,1966,30.47655106818847,1.0,0.035959906350599945
O9,CD4CM,TRB,Aged,100000,,umi,948732.0,91587,2558,10.358806380818239,1.0,0.027929728018168516
Y-Tx2,CD4CM,TRA,Thymectomized,80000,,cell,8196372.0,95041,38571,102.45465,1.1880125,0.4821375
Y-Tx2,CD4CM,TRB,Thymectomized,80000,,cell,7298110.0,276728,56335,91.226375,3.4591,0.7041875
Y-Tx9,CD4NCD31,TRA,Thymectomized,110234,True,cell,5197598.0,133672,61041,47.150588747573345,1.2126204256400022,0.5537402253388247
Y-Tx9,CD4NCD31,TRB,Thymectomized,119524,True,cell,3900091.0,291393,84957,32.63019142598976,2.4379455172182993,0.7107944847896657
Y-Tx9,CD4EM,TRA,Thymectomized,100000,,cell,5433143.0,173915,34404,54.33143,1.73915,0.34404
Y-Tx9,CD4EM,TRB,Thymectomized,100000,,cell,3259922.0,293888,37837,32.59922,2.93888,0.37837
O5,CD8N,TRA,Aged,142171,True,cell,4460394.0,163828,73770,31.373444654676412,1.1523306440835333,0.5188821911641615
O5,CD8N,TRB,Aged,144240,True,cell,3134229.0,316746,97208,21.729263727121463,2.195965058236273,0.6739323349972268
Y5,CD8N,TRA,Young,143122,True,cell,1903913.0,209553,85526,13.302727742764914,1.4641564539344056,0.597574097623007
Y5,CD8N,TRB,Young,144001,True,cell,1100983.0,266080,94192,7.645662182901508,1.8477649460767633,0.654106568704384
O9,CD4NCD31,TRA,Aged,98176,True,umi,1058642.0,65777,34009,16.09440990011706,1.0,0.5170348298037308
O9,CD4NCD31,TRB,Aged,99618,True,umi,551974.0,80650,39010,6.844066955982641,1.0,0.4836949783013019
Y-Tx10,CD8N,TRA,Thymectomized,97438,True,umi,8481821.0,47847,22861,177.26965117980228,1.0,0.4777938010742575
Y-Tx10,CD8N,TRB,Thymectomized,99314,True,cell,6641375.0,100625,32241,66.87249531788066,1.0132005558128763,0.3246370098878305
Y3,CD4NCD31-,TRA,Young,50104,True,umi,6021529.0,41210,19383,146.11815093423925,1.0,0.4703470031545741
Y3,CD4NCD31-,TRB,Young,52540,True,cell,4580706.0,82861,28594,87.18511610201752,1.5771031594975258,0.5442329653597259
O10,CD4CM,TRA,Aged,100000,,umi,694511.0,49636,24976,13.992082359577726,1.0,0.5031831735031026
O10,CD4CM,TRB,Aged,100000,,umi,682528.0,86364,37284,7.902922514010467,1.0,0.43170765596776434
Y4,CD4NCD31,TRA,Young,135705,True,umi,3684048.0,107158,57019,34.37958901808545,1.0,0.532102129565688
Y4,CD4NCD31,TRB,Young,148504,True,cell,4052491.0,332422,107509,27.28876663254862,2.2384716909982223,0.7239468297150246
Y-Tx6,CD4NCD31,TRA,Thymectomized,94167,True,cell,5985834.0,113480,52373,63.56615374812832,1.2050930793165333,0.5561714825788228
Y-Tx6,CD4NCD31,TRB,Thymectomized,99746,True,cell,5151222.0,285849,73861,51.64339422132216,2.865769053395625,0.740490846750747
O6,CD8EM,TRA,Aged,70000,,cell,8276546.0,107568,1120,118.23637142857143,1.5366857142857142,0.016
O6,CD8EM,TRB,Aged,70000,,cell,7982892.0,250342,1151,114.04131428571428,3.5763142857142856,0.016442857142857144
O13,CD8N,TRA,Aged,63772,True,umi,3255888.0,49731,22818,65.46998853833625,1.0,0.4588284973155577
O13,CD8N,TRB,Aged,64169,True,cell,2420079.0,114152,33758,37.71414545964562,1.7789275195187708,0.5260795711324783
Y-Tx6,CD4CM,TRA,Thymectomized,100000,,cell,8391941.0,105573,41986,83.91941,1.05573,0.41986
Y-Tx6,CD4CM,TRB,Thymectomized,100000,,cell,6307140.0,235078,53472,63.0714,2.35078,0.53472
Y-Tx2,CD8N,TRA,Thymectomized,89227,True,umi,7379789.0,65076,37349,113.40262155018748,1.0,0.5739289446185998
Y-Tx2,CD8N,TRB,Thymectomized,89820,True,cell,5673517.0,165989,63325,63.165408594967715,1.8480182587397016,0.705021153417947
O6,CD8N,TRA,Aged,5332,True,cell,2875636.0,16329,4756,539.3165791447861,3.0624531132783197,0.891972993248312
O6,CD8N,TRB,Aged,4720,True,cell,1681172.0,27326,4873,356.18050847457624,5.789406779661017,1.0324152542372882
Y-Tx4,CD8EM,TRA,Thymectomized,100000,,umi,8852085.0,77246,6513,114.59603086243948,1.0,0.08431504543924605
Y-Tx4,CD8EM,TRB,Thymectomized,100000,,cell,5726908.0,142926,7333,57.26908,1.42926,0.07333
Y-Tx6,CD8EM,TRA,Thymectomized,100000,,cell,6208694.0,142478,11743,62.08694,1.42478,0.11743
Y-Tx6,CD8EM,TRB,Thymectomized,100000,,cell,3764272.0,237882,12774,37.64272,2.37882,0.12774
Y-Tx10,CD8EM,TRA,Thymectomized,100000,,cell,5711119.0,102448,14124,57.11119,1.02448,0.14124
Y-Tx10,CD8EM,TRB,Thymectomized,100000,,cell,3320499.0,180141,14958,33.20499,1.80141,0.14958
Y-Tx10,CD4NCD31,TRA,Thymectomized,94141,True,umi,13827762.0,78155,40115,176.9274134732263,1.0,0.513274902437464
Y-Tx10,CD4NCD31,TRB,Thymectomized,99615,True,cell,12334869.0,196703,57551,123.82541785875621,1.9746323344877779,0.5777342769663203
O12,CD8N,TRA,Aged,26450,True,cell,2747116.0,29020,13022,103.86071833648393,1.097164461247637,0.4923251417769376
O12,CD8N,TRB,Aged,26628,True,cell,1703746.0,56686,16720,63.98325071353462,2.1288117770767614,0.6279104701817636
Y-Tx2,CD8EM,TRA,Thymectomized,85000,,umi,6919949.0,42677,6769,162.14703470253298,1.0,0.15861002413477987
Y-Tx2,CD8EM,TRB,Thymectomized,85000,,cell,5948401.0,116070,9573,69.98118823529411,1.3655294117647059,0.1126235294117647
O12,CD4EM,TRA,Aged,100000,,umi,4710121.0,98185,19720,47.97189998472272,1.0,0.20084534297499618
O12,CD4EM,TRB,Aged,100000,,cell,2990089.0,193477,24079,29.90089,1.93477,0.24079
O10,CD4NCD31,TRA,Aged,54872,True,umi,972614.0,32136,17815,30.265558874782176,1.0,0.5543627084889221
O10,CD4NCD31,TRB,Aged,57158,True,cell,1139008.0,84108,31418,19.927359249798805,1.4715000524860913,0.5496693376255293
O12,CD4NCD31-,TRA,Aged,47530,True,umi,3303618.0,39111,19598,84.46774564700468,1.0,0.5010866508143489
O12,CD4NCD31-,TRB,Aged,49956,True,cell,2423932.0,94766,30059,48.52133877812475,1.8969893506285531,0.6017095043638402
Y1,CD8EM,TRA,Young,150000,,umi,5552346.0,58524,10565,94.87297518966578,1.0,0.1805242293759825
Y1,CD8EM,TRB,Young,150000,,umi,4604147.0,123280,16421,37.34707170668397,1.0,0.1332008436080467
O6,CD4CM,TRA,Aged,70000,,cell,3972428.0,89467,30035,56.74897142857143,1.2781,0.42907142857142855
O6,CD4CM,TRB,Aged,70000,,cell,2857195.0,174769,37085,40.81707142857143,2.4967,0.5297857142857143
O5,CD4CM,TRA,Aged,130673,,cell,71055351.0,329640,64845,543.7645955935809,2.522632831571939,0.4962387027159398
O5,CD4CM,TRB,Aged,130673,,cell,54753741.0,616876,68085,419.0134228187919,4.720760983523758,0.5210334192985544
Y-Tx2,CD4NCD31-,TRA,Thymectomized,68359,True,umi,9290664.0,16171,10948,574.5262506956898,1.0,0.6770144085090595
Y-Tx2,CD4NCD31-,TRB,Thymectomized,72768,True,umi,7056633.0,36446,21296,193.61886078033254,1.0,0.5843165230752346
O12,CD4CM,TRA,Aged,100000,,cell,3763111.0,131881,37606,37.63111,1.31881,0.37606
O12,CD4CM,TRB,Aged,100000,,cell,2518163.0,260960,47020,25.18163,2.6096,0.4702
Y5,CD8EM,TRA,Young,150000,,cell,4154368.0,215316,8872,27.695786666666667,1.43544,0.05914666666666667
Y5,CD8EM,TRB,Young,150000,,cell,3487603.0,400155,9517,23.250686666666667,2.6677,0.06344666666666667
O6,CD4EM,TRA,Aged,70000,,cell,4071723.0,104546,11205,58.16747142857143,1.4935142857142858,0.16007142857142856
O6,CD4EM,TRB,Aged,70000,,cell,2377278.0,171587,12013,33.96111428571429,2.4512428571428573,0.17161428571428572
O12,CD4NCD31,TRA,Aged,93373,True,umi,2093562.0,54080,29605,38.7123150887574,1.0,0.5474297337278107
O12,CD4NCD31,TRB,Aged,99341,True,cell,1511923.0,116910,47454,15.219526680826647,1.1768554775973668,0.4776879636806555
Y1,CD4NCD31-,TRA,Young,124915,True,umi,6519888.0,29992,16627,217.38757001867165,1.0,0.5543811683115497
Y1,CD4NCD31-,TRB,Young,129349,True,umi,5797238.0,64372,35975,90.05837941962344,1.0,0.5588609954638663
Y-Tx4,CD4NCD31,TRA,Thymectomized,93578,True,umi,7534195.0,79775,45043,94.44305860231903,1.0,0.5646255092447509
Y-Tx4,CD4NCD31,TRB,Thymectomized,99657,True,cell,4956529.0,180854,64812,49.73588408240264,1.8147646427245452,0.6503507029109846
O5,CD4NCD31,TRA,Aged,137335,True,cell,7599896.0,171742,74871,55.338376961444645,1.2505333673135035,0.5451705683183456
O5,CD4NCD31,TRB,Aged,147996,True,cell,6943716.0,418997,104748,46.91826806129895,2.8311373280358927,0.7077758858347523
O9,CD8EM,TRA,Aged,100000,,umi,2742799.0,80828,2222,33.93377294996783,1.0,0.027490473598258028
O9,CD8EM,TRB,Aged,100000,,cell,1431969.0,137141,2413,14.31969,1.37141,0.02413
O10,CD4NCD31-,TRA,Aged,92077,True,umi,1984969.0,37559,17802,52.84935701163503,1.0,0.4739742804654011
O10,CD4NCD31-,TRB,Aged,95847,True,cell,2749352.0,110413,29794,28.684799732907656,1.1519713710392605,0.31084958318987554
O10,CD8EM,TRA,Aged,100000,,umi,963398.0,49345,2852,19.523720741716485,1.0,0.05779714256763603
O10,CD8EM,TRB,Aged,100000,,umi,1128485.0,84761,3724,13.31372919149137,1.0,0.04393530043298215
Y5,CD4CM,TRA,Young,121935,,cell,1690068.0,190219,62726,13.860401033337434,1.560003280436298,0.514421618075204
Y5,CD4CM,TRB,Young,121935,,cell,944550.0,228213,66216,7.746340263255013,1.8715955222044531,0.5430434247754952
Y-Tx9,CD8EM,TRA,Thymectomized,100000,,umi,4510496.0,89981,8763,50.127204632089,1.0,0.09738722619219613
